"312","Шимановск","52","127.667","9","RU","S551","3","","1"
"308","Сковородино","53.9833","123.933","9","RU","S163","4","","1"
"305","Ромны","50.7428","33.4879","9","RU","R500","0","","1"
"304","Райчихинск","49.8","129.4","9","RU","R252","3","","1"
"296","Завитинск","50.1167","129.433","9","RU","Z135","2","","1"
"291","Благовещенск","50.2749","127.534","9","RU","B421","1","","1"
"290","Белогорск","50.9167","128.483","9","RU","B426","3","","1"
"289","Архара","49.4256","130.078","9","RU","A660","2","","2"
"345","Шенкурск","62.1","42.9","3","RU","S526","4","","1"
"343","Сольвычегодск","61.3333","46.9167","3","RU","S412","4","","1"
"342","Северодвинск","64.5669","39.8468","3","RU","S163","2","","1"
"338","Онега","63.9167","38.0833","3","RU","O520","3","","1"
"337","Няндома","61.6667","40.2","3","RU","N253","3","","1"
"336","Новодвинск","64.4167","40.8167","3","RU","N131","3","","1"
"335","Нарьян-Мар","67.6378","53.0067","3","RU","N625","1","","1"
"334","Мирный","62.7589","40.3394","3","RU","M652","3","","1"
"333","Мезень","65.85","44.2333","3","RU","M250","4","","1"
"330","Котлас","61.25","46.65","3","RU","K342","3","","1"
"329","Коряжма","61.3","47.1667","3","RU","K622","3","","1"
"325","Каргополь","61.5","38.9333","3","RU","K621","4","","1"
"316","Архангельск","64.5369","40.5656","3","RU","A652","1","","1"
"358","Харабали","47.4","47.25","4","RU","H614","4","","1"
"353","Камызяк","46.1167","48.0833","4","RU","K522","2","","1"
"1554707","Наволоки","57.4685","41.9644","3","RU","N142","0","","1"
"348","Ахтубинск","48.2833","46.1667","4","RU","A315","3","","1"
"347","Астрахань","46.3549","48.0527","4","RU","A236","1","","1"
"420","Янаул","56.2667","54.9333","5","RU","J540","2","","1"
"415","Учалы","54.3167","59.3833","5","RU","U240","3","","1"
"414","Уфа","54.7355","55.992","5","RU","U100","1","","1"
"413","Туймазы","54.6017","53.7255","5","RU","T252","3","","1"
"412","Стерлитамак","53.6333","55.95","5","RU","S364","2","","1"
"408","Сибай","52.7","58.65","5","RU","S120","4","","1"
"407","Салават","53.3667","55.9333","5","RU","S413","2","","1"
"404","Октябрьский","54.4833","53.4833","5","RU","O232","2","","1"
"403","Нефтекамск","56.0833","54.25","5","RU","N132","2","","1"
"400","Мелеуз","52.95","55.9333","5","RU","M420","3","","1"
"399","Межгорье","54.05","57.8167","5","RU","M226","3","","1"
"388","Ишимбай","53.45","56.0333","5","RU","I251","3","","1"
"385","Иглино","54.8385","56.4232","5","RU","I245","2","","3"
"380","Дюртюли","55.4833","54.8667","5","RU","D263","3","","1"
"378","Давлеканово","54.2167","55.0333","5","RU","D142","2","","1"
"373","Бураево","55.8425","55.4056","5","RU","B610","2","","3"
"371","Благовещенск","55.0333","55.9833","5","RU","B421","2","","1"
"370","Бирск","55.4175","55.5452","5","RU","B620","3","","1"
"368","Белорецк","53.9667","58.4","5","RU","B462","2","","1"
"367","Белебей","54.1","54.1333","5","RU","B412","3","","1"
"365","Баймак","52.5833","58.3167","5","RU","B252","3","","1"
"435","Старый Оскол","51.3049","37.8569","3","RU","S362","2","","1"
"432","Новый Оскол","50.7615","37.8695","3","RU","N122","3","","1"
"430","Короча","50.8167","37.2","3","RU","K620","4","","1"
"427","Грайворон","50.4833","35.6667","3","RU","G621","2","","1"
"426","Волоконовка","50.4819","37.8625","3","RU","V425","0","","1"
"422","Белгород","50.5966","36.6092","3","RU","B426","1","","1"
"421","Алексеевка","50.6342","38.7142","3","RU","A421","2","","1"
"475","Унеча","52.85","32.6833","3","RU","U520","2","","1"
"474","Трубчевск","52.5833","33.7667","3","RU","T612","3","","1"
"473","Сураж","53.0167","32.4","3","RU","S620","4","","1"
"471","Стародуб","52.5833","32.7667","3","RU","S363","2","","1"
"470","Севск","52.15","34.4939","3","RU","S120","4","","1"
"467","Почеп","52.9333","33.45","3","RU","P210","2","","1"
"465","Новозыбков","52.5333","31.9333","3","RU","N121","3","","1"
"463","Мглин","53.0611","32.8483","3","RU","M245","4","","1"
"458","Клинцы","52.7528","32.2361","3","RU","K452","3","","1"
"455","Карачев","53.1167","34.9833","3","RU","K621","3","","1"
"453","Злынка","52.4333","31.7333","3","RU","Z452","4","","1"
"450","Дятьково","53.6","34.3333","3","RU","D232","3","","1"
"443","Брянск","53.3107","34.3004","3","RU","B625","1","","1"
"505","Улан-Удэ","51.8408","107.608","8","RU","U453","1","","1"
"493","Кяхта","50.35","106.45","8","RU","K300","4","","1"
"485","Закаменск","50.3833","103.283","8","RU","Z255","4","","1"
"539","Юрьев-Польский","56.5","39.6833","3","RU","J614","2","","1"
"538","Суздаль","56.4211","40.4489","3","RU","S234","2","","1"
"537","Судогда","55.95","40.8667","3","RU","S323","4","","1"
"534","Покров","55.9165","39.1673","3","RU","P261","3","","1"
"532","Муром","55.5743","42.0515","3","RU","M650","4","","1"
"531","Меленки","55.3333","41.6333","3","RU","M452","3","","1"
"530","Лакинск","56.0169","39.9494","3","RU","L252","3","","1"
"527","Ковров","56.3867","41.3109","3","RU","K161","2","","1"
"526","Киржач","56.15","38.8667","3","RU","K622","2","","1"
"524","Камешково","56.3492","40.9978","3","RU","K522","4","","1"
"520","Гусь Хрустальный","55.6177","40.6461","3","RU","G262","3","","1"
"518","Гороховец","56.2028","42.6925","3","RU","G612","4","","1"
"516","Вязники","56.2433","42.1292","3","RU","V225","2","","1"
"512","Боголюбово","56.1947","40.5308","3","RU","B242","2","","2"
"507","Александров","56.3978","38.7276","3","RU","A425","3","","1"
"573","Фролово","49.7667","43.65","3","RU","F641","3","","1"
"572","Урюпинск","50.8","42.0167","3","RU","U621","3","","1"
"571","Суровикино","48.6","42.85","3","RU","S612","3","","1"
"564","Палласовка","50.05","46.8833","3","RU","P421","3","","1"
"561","Новоаннинский","50.5167","42.6667","3","RU","N155","3","","1"
"558","Михайловка","50.0667","43.2333","3","RU","M241","2","","1"
"555","Котово","50.3167","44.8","3","RU","K310","3","","1"
"554","Котельниково","47.6333","43.1333","3","RU","K345","3","","1"
"551","Камышин","50.0826","45.3927","3","RU","K525","4","","1"
"550","Калач-на-Дону","48.6833","43.5333","3","RU","K425","3","","1"
"548","Жирновск","50.9833","44.7667","3","RU","Z651","3","","1"
"546","Дубовка","49.05","44.8333","3","RU","D112","3","","1"
"544","Волжский","48.7951","44.8007","3","RU","V422","2","","1"
"598","Череповец","59.1298","38.0013","3","RU","C611","1","","1"
"596","Харовск","59.95","40.2","3","RU","H612","2","","1"
"595","Устюжна","58.8333","36.4333","3","RU","U232","4","","1"
"594","Тотьма","59.9833","42.7667","3","RU","T350","2","","1"
"591","Сокол","59.4667","40.1167","3","RU","S240","3","","1"
"589","Никольск","59.5333","45.45","3","RU","N242","2","","1"
"586","Кириллов","59.8667","38.3833","3","RU","K641","2","","1"
"585","Кадуй","59.2","37.15","3","RU","K320","2","","1"
"584","Кадников","59.5","40.3333","3","RU","K352","4","","1"
"583","Грязовец","58.8823","40.2474","3","RU","G622","3","","1"
"582","Вытегра","61","36.45","3","RU","V326","4","","1"
"580","Вологда","59.2152","39.8767","3","RU","V423","1","","1"
"577","Великий Устюг","60.7632","46.3078","3","RU","V422","3","","1"
"576","Белозерск","60.0333","37.7833","3","RU","B426","4","","1"
"575","Бабаево","59.3833","35.95","3","RU","B110","4","","1"
"630","Семилуки","51.6833","39.0333","3","RU","S542","2","","1"
"629","Россошь","50.2","39.5833","3","RU","R220","2","","1"
"625","Поворино","51.2","42.25","3","RU","P165","3","","1"
"621","Острогожск","50.8667","39.0667","3","RU","O236","2","","1"
"619","Новохоперск","51.1","41.6167","3","RU","N116","4","","1"
"618","Нововоронеж","51.3167","39.2167","3","RU","N116","3","","1"
"614","Кантемировка","49.7017","39.8536","3","RU","K535","2","","2"
"613","Калач","50.4258","41.0156","3","RU","K420","3","","1"
"610","Грибановский","51.45","41.9667","3","RU","G615","2","","2"
"609","Воронеж","51.66","39.1974","3","RU","V652","1","","1"
"605","Бутурлиновка","50.825","40.5889","3","RU","B364","3","","1"
"604","Борисоглебск","51.3667","42.0833","3","RU","B622","3","","1"
"603","Богучар","49.9333","40.55","3","RU","B226","4","","1"
"602","Бобров","51.0833","40.0333","3","RU","B161","2","","1"
"673","Хасавюрт","43.25","46.5833","3","RU","H212","2","","1"
"666","Советское","41.7256","48.3244","3","RU","S132","2","","3"
"662","Махачкала","42.9728","47.4936","3","RU","M224","1","","1"
"656","Кизляр","43.8447","46.7187","3","RU","K242","2","","1"
"655","Кизилюрт","43.2","46.8667","3","RU","K242","2","","1"
"653","Каспийск","42.8828","47.6382","3","RU","K212","3","","1"
"651","Карабудахкент","42.7","47.55","3","RU","K613","2","","3"
"650","Избербаш","42.5667","47.8667","3","RU","I216","3","","1"
"647","Дербент","42.0692","48.2958","3","RU","D615","2","","1"
"646","Дагестанские Огни","42.1167","48.2","3","RU","D223","3","","1"
"678","Биробиджан","48.8007","132.899","10","RU","B613","1","","1"
"706","Юрьевец","57.3167","43.1","3","RU","J612","4","","1"
"705","Южа","56.5833","42.0167","3","RU","J200","4","","1"
"704","Шуя","56.85","41.3667","3","RU","S200","3","","1"
"702","Тейково","56.85","40.55","3","RU","T210","3","","1"
"698","Пучеж","56.9833","43.1667","3","RU","P220","4","","1"
"697","Приволжск","57.3833","41.2833","3","RU","P614","3","","1"
"696","Пестяки","56.7125","42.6739","3","RU","P232","2","","2"
"691","Кинешма","57.4497","42.1321","3","RU","K525","3","","1"
"688","Иваньковский","56.675","40.11","3","RU","I152","2","","3"
"687","Иваново","56.9924","40.9678","3","RU","I151","1","","1"
"685","Заволжск","57.4833","42.1333","3","RU","Z142","4","","1"
"682","Гаврилов Посад","56.5667","40.1167","3","RU","G164","4","","1"
"681","Вичуга","57.2","41.9167","3","RU","V220","3","","1"
"756","Шелехов","52.2059","104.099","8","RU","S410","3","","1"
"752","Усть-Ордынский","52.8167","104.733","8","RU","U236","2","","2"
"751","Усть-Кут","56.8","105.833","8","RU","U232","3","","1"
"750","Усть-Илимск","58","102.667","8","RU","U234","4","","1"
"749","Усолье-Сибирское","52.75","103.65","8","RU","U242","3","","1"
"746","Слюдянка","51.6667","103.7","8","RU","S423","2","","1"
"745","Саянск","54.1167","102.167","8","RU","S252","3","","1"
"744","Оса","53.3889","103.874","8","RU","O200","4","","1"
"743","Нижнеудинск","54.9063","99.0254","8","RU","N253","3","","1"
"738","Киренск","57.7833","108.1","8","RU","K652","4","","1"
"734","Иркутск","52.2753","104.309","8","RU","I623","1","","1"
"733","Зима","53.9167","102.05","8","RU","Z500","2","","1"
"728","Железногорск-Илимский","56.5833","104.117","8","RU","Z425","3","","1"
"725","Вихоревка","56.1107","101.18","8","RU","V612","3","","1"
"722","Братск","56.1697","101.592","8","RU","B632","4","","1"
"717","Бирюсинск","55.95","97.8167","8","RU","B622","4","","1"
"714","Байкальск","51.5172","104.156","8","RU","B242","3","","1"
"711","Артемовский","57.3667","61.8667","5","RU","A635","3","","1"
"710","Ангарск","52.5417","103.92","8","RU","A526","4","","1"
"708","Алзамай","55.55","98.6667","8","RU","A425","4","","1"
"764","Тырныауз","43.4","42.9167","3","RU","T652","4","","1"
"761","Прохладный","43.75","44.0333","3","RU","P643","2","","1"
"760","Нарткала","43.55","43.85","3","RU","N632","3","","1"
"759","Нальчик","43.4869","43.603","3","RU","N422","1","","1"
"758","Майский","43.6333","44.0667","3","RU","M220","2","","0"
"757","Баксан","43.6833","43.5333","3","RU","B250","2","","1"
"786","Черняховск","54.6369","21.8079","2","RU","C652","3","","1"
"784","Славск","55.05","21.6667","2","RU","S412","2","","1"
"783","Светлый","54.6833","20.1333","2","RU","S134","3","","1"
"781","Правдинск","54.45","21.0167","2","RU","P613","4","","1"
"780","Полесск","54.8667","21.1","2","RU","P420","4","","1"
"777","Неман","55.0333","22.0333","2","RU","N550","4","","1"
"776","Мамоново","54.4667","19.9333","2","RU","M551","4","","1"
"775","Краснознаменск","54.9422","22.4897","2","RU","K625","4","","1"
"774","Калининград","54.7116","20.51","2","RU","K455","1","","1"
"772","Зеленоградск","54.95","20.4833","2","RU","Z452","2","","1"
"769","Гурьевск","54.7667","20.6","2","RU","G612","4","","1"
"768","Гвардейск","54.65","21.0667","2","RU","G163","4","","1"
"767","Балтийск","54.65","19.9167","2","RU","B432","3","","1"
"766","Багратионовск","54.3833","20.6333","2","RU","B263","2","","1"
